Id,Label,House
Lanna-(Happy-Port),Lanna (Happy Port),Other
Lark,Lark,Other
Larraq,Larraq,Other
Leaf,Leaf,Other
Leathers,Leathers,Other
Lem,Lem,Other
Lemore,Lemore,Other
Leo-Lefford,Leo Lefford,Other
Leo-Tyrell,Leo Tyrell,Tyrell
Leobald-Tallhart,Leobald Tallhart,Other
Leona-Woolfield,Leona Woolfield,Other
Leonette-Fossoway,Leonette Fossoway,Other
Lewyn-Martell,Lewyn Martell,Martell
Lewys-Piper,Lewys Piper,Other
Lollys-Stokeworth,Lollys Stokeworth,Other
Lommy-Greenhands,Lommy Greenhands,Other
Longwater-Pyke,Longwater Pyke,Other
Loras-Tyrell,Loras Tyrell,Tyrell
Lorent-Caswell,Lorent Caswell,Other
Lorren,Lorren,Other
Lothar-Frey,Lothar Frey,Frey
Lothor-Brune,Lothor Brune,Other
Lucas-Codd,Lucas Codd,Other
Lucifer-Long,Lucifer Long,Other
Luton,Luton,Other
Luwin,Luwin,Other
Lyanna-Mormont,Lyanna Mormont,Other
Lyanna-Stark,Lyanna Stark,Stark
Lyle-Crakehall,Lyle Crakehall,Other
Lyn-Corbray,Lyn Corbray,Other
Lynesse-Hightower,Lynesse Hightower,Other
Lyonel-Corbray,Lyonel Corbray,Other
Lysa-Arryn,Lysa Arryn,Arryn
Lysono-Maar,Lysono Maar,Other
Mace-Tyrell,Mace Tyrell,Tyrell
Mad-Huntsman,Mad Huntsman,Other
Maddy,Maddy,Other
Maege-Mormont,Maege Mormont,Other
Maegor-I-Targaryen,Maegor I Targaryen,Targaryen
Maekar-I-Targaryen,Maekar I Targaryen,Targaryen
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg,Other
Maggy,Maggy,Other
Malaquo-Maegyr,Malaquo Maegyr,Other
Malegorn,Malegorn,Other
Mallador-Locke,Mallador Locke,Other
Mance-Rayder,Mance Rayder,Other
Mandon-Moore,Mandon Moore,Other
Manfrey-Martell,Manfrey Martell,Martell
Margaery-Tyrell,Margaery Tyrell,Tyrell
Marghaz-zo-Loraq,Marghaz zo Loraq,Other
Marillion,Marillion,Other
Mariya-Darry,Mariya Darry,Other
Mark-Mullendore,Mark Mullendore,Other
Marlon-Manderly,Marlon Manderly,Other
Maron-Greyjoy,Maron Greyjoy,Greyjoy
Marq-Piper,Marq Piper,Other
Marselen,Marselen,Other
Martyn-Lannister,Martyn Lannister,Lannister
Martyn-Rivers,Martyn Rivers,Other
Marwyn,Marwyn,Other
Marya-Seaworth,Marya Seaworth,Other
Masha-Heddle,Masha Heddle,Other
Mathis-Rowan,Mathis Rowan,Other
Matthar,Matthar,Other
Matthos-Seaworth,Matthos Seaworth,Other
Mebble,Mebble,Other
Meera-Reed,Meera Reed,Other
Megga-Tyrell,Megga Tyrell,Tyrell
Melara-Hetherspoon,Melara Hetherspoon,Other
Meldred-Merlyn,Meldred Merlyn,Other
Melisandre,Melisandre,Other
Mellei,Mellei,Other
Meralyn,Meralyn,Other
Meribald,Meribald,Other
Meris,Meris,Other
Mero,Mero,Other
Merrett-Frey,Merrett Frey,Frey
Merrit,Merrit,Other
Meryn-Trant,Meryn Trant,Other
Mezzara,Mezzara,Other
Mikken,Mikken,Other
Miklaz,Miklaz,Other
Mirri-Maz-Duur,Mirri Maz Duur,Other
Missandei,Missandei,Other
Moelle,Moelle,Other
Mollander,Mollander,Other
Monford-Velaryon,Monford Velaryon,Other
Moon-Boy,Moon Boy,Other
Moqorro,Moqorro,Other
Mord,Mord,Other
Mordane,Mordane,Other
Moreo-Tumitis,Moreo Tumitis,Other
Morgo,Morgo,Other
Morra,Morra,Other
Morrec,Morrec,Other
Mors-Umber,Mors Umber,Other
Mully,Mully,Other
Munda,Munda,Other
Murch,Murch,Other
Murenmure,Murenmure,Other
Mya-Stone,Mya Stone,Other
Mycah,Mycah,Other
Mychel-Redfort,Mychel Redfort,Other
Myles-Toyne,Myles Toyne,Other
Myranda-Royce,Myranda Royce,Other
Myrcella-Baratheon,Myrcella Baratheon,Baratheon
Nage,Nage,Other
Nan,Nan,Other
Narbert,Narbert,Other
Narbert-Grandison,Narbert Grandison,Other
Nestor-Royce,Nestor Royce,Other
Nurse,Nurse,Other
Nute,Nute,Other
Nyessos-Vhassar,Nyessos Vhassar,Other
Nymeria-Sand,Nymeria Sand,Other
