Id,Label,house,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Kevan-Lannister,Kevan Lannister,Lannister,17,196,6,0.362682,0.393375,597.556448,0.073664,0.073664,0.002385,0,10,17,0.507353,69,0.288012
Khorane-Sathmantes,Khorane Sathmantes,Other,3,11,6,0.3097,0.328029,0,0.008263,0.008263,0.000634,0,2,8,1,3,0.034007
Khrazz,Khrazz,Other,5,28,7,0.280324,0.297161,235.948348,0.004045,0.004045,0.001013,0,6,14,0.6,6,0.017729
Kindly-Man,Kindly Man,Other,2,30,7,0.301593,0.319404,0,0.00626,0.00626,0.000564,0,0,0,1,1,0.025081
Kojja-Mo,Kojja Mo,Other,2,15,7,0.261084,0.278443,0,0.00207,0.00207,0.000457,0,11,6,1,1,0.010282
Koss,Koss,Other,2,8,7,0.302052,0.319928,0,0.007741,0.007741,0.000451,0,0,0,1,1,0.031157
Kraznys-mo-Nakloz,Kraznys mo Nakloz,Other,2,19,7,0.277293,0.295211,0,0.002449,0.002449,0.000488,0,6,14,1,1,0.011679
Kurleket,Kurleket,Other,1,5,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Kurz,Kurz,Other,1,4,8,0.203325,0.20922,0,0.000049,0.000049,0.000542,0,0,0,0,0,0.000303
Kyra,Kyra,Other,1,4,7,0.29753,0.313681,0,0.003586,0.003586,0.000344,0,1,7,0,0,0.015207
Lambert-Turnberry,Lambert Turnberry,Other,3,9,8,0.239891,0.250112,0.333333,0.001382,0.001382,0.000627,0,10,12,0.666667,2,0.005527
Lamprey,Lamprey,Other,4,19,7,0.268219,0.283744,0.333333,0.002751,0.002751,0.000823,0,2,8,0.833333,5,0.012042
Lancel-Lannister,Lancel Lannister,Lannister,12,149,6,0.352706,0.379916,164.196334,0.058371,0.058371,0.001665,0,10,15,0.590909,39,0.227873
Lanna-(Happy-Port),Lanna (Happy Port),Other,1,4,7,0.24613,0.257469,0,0.000504,0.000504,0.000354,0,11,6,0,0,0.002374
Lark,Lark,Other,6,30,6,0.314976,0.338092,817.119869,0.008618,0.008618,0.001191,0,11,6,0.6,9,0.039885
Larraq,Larraq,Other,1,3,7,0.279045,0.292863,0,0.003433,0.003433,0.000315,0,6,14,0,0,0.01389
Leaf,Leaf,Other,2,11,6,0.295539,0.310566,0,0.004748,0.004748,0.000457,0,1,13,1,1,0.019612
Leathers,Leathers,Other,5,37,6,0.309218,0.331321,7.166667,0.006115,0.006115,0.000994,0,11,6,0.5,5,0.028241
Lem,Lem,Other,15,155,7,0.326355,0.35519,1872.437317,0.026562,0.026562,0.002389,0,0,0,0.380952,40,0.10538
Lemore,Lemore,Other,7,54,7,0.324755,0.345463,0.642857,0.01267,0.01267,0.001175,0,16,14,0.952381,20,0.051553
Leo-Lefford,Leo Lefford,Other,1,4,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Leo-Tyrell,Leo Tyrell,Tyrell,5,24,7,0.262203,0.28186,1643.409451,0.001681,0.001681,0.001221,0,14,6,0.6,6,0.00896
Leobald-Tallhart,Leobald Tallhart,Other,3,11,7,0.288462,0.302863,6.481186,0.003837,0.003837,0.000659,0,1,13,0.333333,1,0.015707
Leona-Woolfield,Leona Woolfield,Other,2,7,7,0.269949,0.285169,0,0.002898,0.002898,0.000491,0,2,8,1,1,0.012208
Leonette-Fossoway,Leonette Fossoway,Other,1,3,8,0.251582,0.261433,0,0.001307,0.001307,0.00033,0,10,4,0,0,0.005024
Lewyn-Martell,Lewyn Martell,Martell,4,12,7,0.255956,0.266742,416.115038,0.001188,0.001188,0.001087,0,5,14,0.5,3,0.005035
Lewys-Piper,Lewys Piper,Other,1,3,7,0.311398,0.328733,0,0.007921,0.007921,0.000319,0,9,11,0,0,0.030959
Lollys-Stokeworth,Lollys Stokeworth,Other,7,51,7,0.32502,0.345882,3.688763,0.02123,0.02123,0.001071,0,10,2,0.571429,12,0.0832
Lommy-Greenhands,Lommy Greenhands,Other,6,99,7,0.304481,0.324855,3.518373,0.010249,0.010249,0.001038,0,0,0,0.8,12,0.041617
Longwater-Pyke,Longwater Pyke,Other,1,3,8,0.250315,0.262311,0,0.000329,0.000329,0.00041,0,7,7,0,0,0.001965
Loras-Tyrell,Loras Tyrell,Tyrell,28,329,6,0.382028,0.419623,455.349468,0.121096,0.121096,0.003541,0,10,4,0.473545,179,0.472987
Lorent-Caswell,Lorent Caswell,Other,1,3,7,0.284844,0.299006,0,0.004568,0.004568,0.000312,0,10,4,0,0,0.017792
Lorren,Lorren,Other,8,31,7,0.299322,0.319865,1184.701309,0.004142,0.004142,0.002056,0,1,7,0.142857,4,0.018539
Lothar-Frey,Lothar Frey,Frey,11,50,6,0.316607,0.340398,87.625058,0.023905,0.023905,0.001692,0,1,3,0.418182,23,0.095071
Lothor-Brune,Lothor Brune,Other,5,30,7,0.306005,0.326343,14.329506,0.015783,0.015783,0.000841,0,10,10,0.6,6,0.061511
Lucas-Codd,Lucas Codd,Other,2,6,8,0.207301,0.214332,794,0.000037,0.000037,0.000987,0,7,7,0,0,0.000388
Lucifer-Long,Lucifer Long,Other,1,3,9,0.187103,0.194912,0,0.000028,0.000028,0.000399,0,6,14,0,0,0.000327
Luton,Luton,Other,1,3,8,0.230168,0.238534,0,0.000198,0.000198,0.000389,0,1,7,0,0,0.000983
Luwin,Luwin,Other,22,376,6,0.383133,0.416918,994.630609,0.059691,0.059691,0.003184,0,1,13,0.359307,83,0.243282
Lyanna-Mormont,Lyanna Mormont,Other,1,3,6,0.307901,0.324256,0,0.006371,0.006371,0.000319,0,2,8,0,0,0.025882
Lyanna-Stark,Lyanna Stark,Stark,5,40,6,0.333613,0.351426,3.630025,0.02379,0.02379,0.000815,0,10,14,0.8,8,0.093649
Lyle-Crakehall,Lyle Crakehall,Other,5,27,7,0.312992,0.333031,2.852417,0.015553,0.015553,0.000827,0,9,11,0.5,5,0.060521
Lyn-Corbray,Lyn Corbray,Other,4,17,7,0.291529,0.309823,6.643466,0.010105,0.010105,0.000762,0,10,10,0.666667,4,0.039454
Lynesse-Hightower,Lynesse Hightower,Other,1,3,7,0.277197,0.294582,0,0.002206,0.002206,0.00034,0,6,14,0,0,0.010346
Lyonel-Corbray,Lyonel Corbray,Other,2,7,7,0.287004,0.302905,0,0.005706,0.005706,0.000468,0,10,10,1,1,0.022208
Lysa-Arryn,Lysa Arryn,Arryn,24,341,6,0.377493,0.413375,1914.070609,0.088363,0.088363,0.003349,0,10,10,0.373188,103,0.347949
Lysono-Maar,Lysono Maar,Other,1,3,7,0.277197,0.294582,0,0.002206,0.002206,0.00034,0,6,14,0,0,0.010346
Mace-Tyrell,Mace Tyrell,Tyrell,23,203,6,0.382028,0.414591,1856.236556,0.087408,0.087408,0.003086,0,10,17,0.422925,107,0.342839
Mad-Huntsman,Mad Huntsman,Other,1,4,7,0.301479,0.318775,0,0.006041,0.006041,0.000325,0,0,0,0,0,0.024132
Maddy,Maddy,Other,5,28,7,0.304132,0.323513,11.590635,0.009809,0.009809,0.0009,0,10,10,0.6,6,0.038459
Maege-Mormont,Maege Mormont,Other,5,27,6,0.313362,0.332893,1.266667,0.015336,0.015336,0.000872,0,1,3,0.8,8,0.061322
Maegor-I-Targaryen,Maegor I Targaryen,Targaryen,6,22,7,0.320048,0.341878,798.626035,0.024896,0.024896,0.00106,0,10,12,0.466667,7,0.096635
Maekar-I-Targaryen,Maekar I Targaryen,Targaryen,1,3,6,0.262636,0.274004,0,0.001226,0.001226,0.000325,0,11,6,0,0,0.005823
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg,Other,2,9,6,0.308379,0.328595,0,0.005658,0.005658,0.000471,0,11,6,1,1,0.025322
Maggy,Maggy,Other,2,8,7,0.312869,0.330264,0,0.008828,0.008828,0.000517,0,10,12,1,1,0.034379
Malaquo-Maegyr,Malaquo Maegyr,Other,1,7,8,0.206226,0.211815,0,0.000041,0.000041,0.000519,0,16,14,0,0,0.000264
Malegorn,Malegorn,Other,4,19,6,0.310304,0.331908,110.747554,0.006305,0.006305,0.000832,0,2,8,0.833333,5,0.02838
Mallador-Locke,Mallador Locke,Other,1,4,7,0.23917,0.24938,0,0.000354,0.000354,0.000348,0,11,6,0,0,0.001874
Mance-Rayder,Mance Rayder,Other,33,389,6,0.36994,0.41044,4293.968658,0.050948,0.050948,0.004959,0,11,6,0.219697,116,0.220852
Mandon-Moore,Mandon Moore,Other,9,57,7,0.347162,0.374352,7.284189,0.053102,0.053102,0.001245,0,10,11,0.777778,28,0.206899
Manfrey-Martell,Manfrey Martell,Martell,1,4,9,0.185835,0.191802,0,0.000015,0.000015,0.000529,0,15,1,0,0,0.000175
Margaery-Tyrell,Margaery Tyrell,Tyrell,30,442,6,0.362352,0.399581,1434.763104,0.091883,0.091883,0.003992,0,10,12,0.296552,129,0.358288
Marghaz-zo-Loraq,Marghaz zo Loraq,Other,1,5,8,0.227663,0.240007,0,0.000357,0.000357,0.000332,0,6,14,0,0,0.002187
Marillion,Marillion,Other,9,64,7,0.339453,0.366238,26.40173,0.038732,0.038732,0.001317,0,10,2,0.694444,25,0.152369
Mariya-Darry,Mariya Darry,Other,2,11,7,0.312623,0.330746,0,0.010271,0.010271,0.000438,0,9,0,1,1,0.040078
Mark-Mullendore,Mark Mullendore,Other,1,3,7,0.312623,0.329425,0,0.008251,0.008251,0.000306,0,10,12,0,0,0.032093
Marlon-Manderly,Marlon Manderly,Other,2,8,6,0.309579,0.3274,0,0.007904,0.007904,0.000476,0,2,8,1,1,0.03239
Maron-Greyjoy,Maron Greyjoy,Greyjoy,1,3,7,0.313239,0.327287,0,0.006707,0.006707,0.00032,0,10,18,0,0,0.026539
Marq-Piper,Marq Piper,Other,8,32,6,0.336722,0.358721,56.161991,0.032354,0.032354,0.001212,0,1,3,0.607143,17,0.127389
Marselen,Marselen,Other,2,7,7,0.277293,0.295211,0,0.002286,0.002286,0.000592,0,6,14,1,1,0.01085
Martyn-Lannister,Martyn Lannister,Lannister,2,6,7,0.291957,0.306972,9.828133,0.005901,0.005901,0.000516,0,19,17,0,0,0.023006
Martyn-Rivers,Martyn Rivers,Other,1,3,6,0.307663,0.322704,0,0.006061,0.006061,0.000316,0,1,3,0,0,0.024296
Marwyn,Marwyn,Other,3,12,7,0.261685,0.279868,177.351886,0.001668,0.001668,0.000731,0,14,6,0.666667,2,0.008545
Marya-Seaworth,Marya Seaworth,Other,2,8,6,0.30802,0.324885,0,0.006656,0.006656,0.000516,0,2,8,1,1,0.02714
Masha-Heddle,Masha Heddle,Other,1,5,7,0.302511,0.31909,0,0.006155,0.006155,0.000315,0,1,3,0,0,0.024404
Mathis-Rowan,Mathis Rowan,Other,8,35,6,0.334737,0.356331,816.89912,0.025172,0.025172,0.001353,0,10,17,0.428571,12,0.099818
Matthar,Matthar,Other,1,3,6,0.308259,0.327966,0,0.005045,0.005045,0.00033,0,11,6,0,0,0.022418
Matthos-Seaworth,Matthos Seaworth,Other,1,3,7,0.260827,0.273932,0,0.001533,0.001533,0.000345,0,2,8,0,0,0.006508
Mebble,Mebble,Other,1,4,8,0.234375,0.24409,0,0.00049,0.00049,0.000332,0,0,0,0,0,0.002125
Meera-Reed,Meera Reed,Other,11,291,6,0.305534,0.328365,95.043651,0.013149,0.013149,0.001768,0,1,13,0.436364,24,0.056458
Megga-Tyrell,Megga Tyrell,Tyrell,4,49,7,0.304015,0.32324,0,0.011257,0.011257,0.000703,0,13,12,1,6,0.043646
Melara-Hetherspoon,Melara Hetherspoon,Other,4,15,7,0.326757,0.347811,816.450832,0.0165,0.0165,0.000995,0,10,12,0.333333,2,0.064455
Meldred-Merlyn,Meldred Merlyn,Other,2,10,8,0.250868,0.264197,0,0.000578,0.000578,0.000631,0,7,7,1,1,0.003377
Melisandre,Melisandre,Other,23,327,6,0.355387,0.391656,2048.457395,0.041716,0.041716,0.003548,0,2,6,0.233202,59,0.176056
Mellei,Mellei,Other,2,8,8,0.228121,0.239202,0,0.000446,0.000446,0.00061,0,15,1,1,1,0.002211
Meralyn,Meralyn,Other,1,9,7,0.301479,0.318775,0,0.006041,0.006041,0.000325,0,0,0,0,0,0.024132
Meribald,Meribald,Other,5,47,7,0.279241,0.297077,5.243515,0.006482,0.006482,0.000995,0,9,17,0.6,6,0.025497
Meris,Meris,Other,6,43,7,0.27993,0.301144,967.563707,0.002943,0.002943,0.001393,0,6,14,0.6,9,0.014952
Mero,Mero,Other,4,24,7,0.281416,0.300222,794,0.003563,0.003563,0.000944,0,6,14,0.5,3,0.017018
Merrett-Frey,Merrett Frey,Frey,2,6,7,0.288148,0.30475,2.769434,0.006189,0.006189,0.000437,0,10,3,0,0,0.024172
Merrit,Merrit,Other,1,3,7,0.254808,0.265274,0,0.001401,0.001401,0.000326,0,0,0,0,0,0.005652
Meryn-Trant,Meryn Trant,Other,21,298,6,0.368226,0.400964,296.861126,0.086173,0.086173,0.002614,0,0,5,0.6,126,0.335458
Mezzara,Mezzara,Other,2,7,7,0.27739,0.295421,0,0.002306,0.002306,0.000538,0,6,14,1,1,0.011017
Mikken,Mikken,Other,5,25,6,0.31152,0.330901,74.501546,0.008926,0.008926,0.000994,0,1,13,0.5,5,0.037315
Miklaz,Miklaz,Other,3,10,7,0.277584,0.296259,794,0.002309,0.002309,0.00092,0,6,14,0.333333,1,0.011119
Mirri-Maz-Duur,Mirri Maz Duur,Other,6,66,7,0.281915,0.302004,3.038621,0.004428,0.004428,0.00104,0,6,14,0.8,12,0.021963
Missandei,Missandei,Other,9,121,7,0.296974,0.320473,30.398311,0.008673,0.008673,0.001419,0,6,14,0.777778,28,0.041135
Moelle,Moelle,Other,3,26,7,0.312869,0.330683,0,0.008899,0.008899,0.000667,0,3,12,1,3,0.034739
Mollander,Mollander,Other,4,20,7,0.214865,0.22587,1.25,0.000123,0.000123,0.001086,0,14,6,0.833333,5,0.00138
Monford-Velaryon,Monford Velaryon,Other,3,11,6,0.309821,0.328239,794,0.007914,0.007914,0.000837,0,2,8,0.333333,1,0.032513
Moon-Boy,Moon Boy,Other,4,36,7,0.313486,0.33215,2.936564,0.014161,0.014161,0.00066,0,10,4,0.5,3,0.054781
Moqorro,Moqorro,Other,5,39,7,0.341202,0.363597,760.54298,0.011781,0.011781,0.001114,0,7,7,0.5,5,0.049385
Mord,Mord,Other,1,20,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Mordane,Mordane,Other,11,145,6,0.370457,0.398805,150.564874,0.05986,0.05986,0.001544,0,0,7,0.763636,42,0.237506
Moreo-Tumitis,Moreo Tumitis,Other,1,3,7,0.302511,0.31909,0,0.006155,0.006155,0.000315,0,1,3,0,0,0.024404
Morgo,Morgo,Other,1,4,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Morra,Morra,Other,2,8,8,0.228121,0.239202,0,0.000446,0.000446,0.00061,0,15,1,1,1,0.002211
Morrec,Morrec,Other,2,10,7,0.322908,0.340641,0,0.009122,0.009122,0.00055,0,10,2,1,1,0.036314
Mors-Umber,Mors Umber,Other,4,17,6,0.311033,0.329602,75.194787,0.007259,0.007259,0.00083,0,2,13,0.166667,1,0.029854
Mully,Mully,Other,9,46,6,0.3097,0.333836,11.796032,0.008357,0.008357,0.001494,0,11,6,0.472222,17,0.039512
Munda,Munda,Other,1,4,7,0.237882,0.249045,0,0.000395,0.000395,0.000342,0,11,6,0,0,0.002185
Murch,Murch,Other,1,5,9,0.175072,0.179467,0,0.000002,0.000002,0.000636,0,1,7,0,0,0.000109
Murenmure,Murenmure,Other,2,14,7,0.298535,0.315987,0,0.003835,0.003835,0.000564,0,7,7,1,1,0.016619
Mya-Stone,Mya Stone,Other,5,34,7,0.306122,0.325274,34.328154,0.008824,0.008824,0.000918,0,10,10,0.4,4,0.035081
Mycah,Mycah,Other,5,65,7,0.334174,0.356616,0,0.031751,0.031751,0.000791,0,0,4,1,10,0.124205
Mychel-Redfort,Mychel Redfort,Other,1,3,7,0.302511,0.31909,0,0.006155,0.006155,0.000315,0,1,3,0,0,0.024404
Myles-Toyne,Myles Toyne,Other,2,13,7,0.259634,0.270443,0,0.001254,0.001254,0.000537,0,16,14,1,1,0.005316
Myranda-Royce,Myranda Royce,Other,3,13,7,0.303783,0.322046,6.961877,0.008972,0.008972,0.000598,0,10,10,0.666667,2,0.035054
Myrcella-Baratheon,Myrcella Baratheon,Baratheon,22,264,6,0.377135,0.410566,6373.17791,0.07536,0.07536,0.003123,0,15,1,0.333333,77,0.297959
Nage,Nage,Other,1,3,8,0.241421,0.250699,0,0.000601,0.000601,0.000358,0,9,15,0,0,0.002387
Nan,Nan,Other,8,91,6,0.346254,0.373857,225.494734,0.025463,0.025463,0.001325,0,1,0,0.5,14,0.105158
Narbert,Narbert,Other,3,14,7,0.277972,0.294247,0,0.004453,0.004453,0.000685,0,9,17,1,3,0.017567
Narbert-Grandison,Narbert Grandison,Other,6,24,6,0.310547,0.333166,256.365156,0.006565,0.006565,0.001221,0,2,8,0.533333,8,0.029773
Nestor-Royce,Nestor Royce,Other,7,58,7,0.319405,0.342989,24.398937,0.025905,0.025905,0.00107,0,10,10,0.714286,15,0.101493
Nurse,Nurse,Other,4,28,7,0.326489,0.346259,4.08422,0.010756,0.010756,0.000768,0,10,2,0.833333,5,0.043934
Nute,Nute,Other,4,24,8,0.250947,0.264994,2.833333,0.000627,0.000627,0.001106,0,7,7,0.666667,4,0.003972
Nyessos-Vhassar,Nyessos Vhassar,Other,2,10,7,0.259719,0.270653,794,0.001182,0.001182,0.000777,0,16,14,0,0,0.004994
Nymeria-Sand,Nymeria Sand,Other,4,40,7,0.265709,0.279605,5.705927,0.002285,0.002285,0.000775,0,15,1,0.666667,4,0.009767
Obara-Sand,Obara Sand,Other,6,68,7,0.266421,0.282016,7.860823,0.003144,0.003144,0.001079,0,15,1,0.6,9,0.013448
Oberyn-Martell,Oberyn Martell,Martell,20,192,7,0.356023,0.389048,3094.080631,0.065787,0.065787,0.002833,0,10,1,0.336842,64,0.2577
Ogo,Ogo,Other,3,18,7,0.249373,0.260548,794,0.000537,0.000537,0.000989,0,6,14,0.333333,1,0.00307
Old-Bill-Bone,Old Bill Bone,Other,1,3,8,0.229503,0.242293,0,0.000358,0.000358,0.000348,0,6,14,0,0,0.002048
Olenna-Redwyne,Olenna Redwyne,Other,9,55,7,0.345052,0.372486,92.32442,0.050505,0.050505,0.001304,0,10,17,0.805556,29,0.196719
Olyvar-Frey,Olyvar Frey,Frey,2,16,6,0.30814,0.323962,0,0.00712,0.00712,0.000451,0,1,3,1,1,0.02855
Orell,Orell,Other,2,9,6,0.308498,0.328805,0,0.005431,0.005431,0.000485,0,11,6,1,1,0.024506
Orton-Merryweather,Orton Merryweather,Other,10,43,6,0.341202,0.364256,25.692026,0.037217,0.037217,0.001356,0,10,12,0.644444,29,0.145183
