Id,Label,clustering,triangles,pageranks,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,eigencentrality,weighted degree,Authority,Hub,modularity_class,stat_inf_class
Grazhar,,0.333333,1,0.000666,3,7,0.279634,0.294855,0.000038,0,0.015899,12,0.003765,0.003766,9,10
Groleo,,0.8,12,0.001024,6,7,0.290252,0.311899,0.000036,0,0.031386,34,0.006767,0.006767,9,10
Hizdahr-zo-Loraq,,0.25974,60,0.003721,22,7,0.294663,0.325903,0.005928,0,0.051456,292,0.010198,0.010198,9,10
Khrazz,,0.6,6,0.001013,5,7,0.280324,0.297161,0.000748,0,0.017959,28,0.004045,0.004045,9,10
Larraq,,0,0,0.000315,1,7,0.279045,0.292863,0,0,0.013913,3,0.003433,0.003433,9,10
Missandei,,0.777778,28,0.001419,9,7,0.296974,0.320473,0.000096,0,0.041977,121,0.008673,0.008673,9,10
Pycelle,,0.435897,153,0.003698,27,6,0.380383,0.416583,0.007406,0,0.435131,357,0.111323,0.111323,0,4
Reznak-mo-Reznak,,1,10,0.000896,5,7,0.290252,0.311479,0,0,0.02983,49,0.006528,0.006528,9,10
Skahaz-mo-Kandaq,,0.575758,38,0.001856,12,7,0.291209,0.316301,0.000059,0,0.042062,135,0.008564,0.008564,9,10
Steelskin,,1,3,0.000631,3,7,0.280028,0.295693,0,0,0.01699,9,0.003931,0.003931,9,10
Widower,,0,0,0.000315,1,7,0.279045,0.292863,0,0,0.013913,3,0.003433,0.003433,9,10
Xaro-Xhoan-Daxos,,0.666667,2,0.000696,3,7,0.289723,0.309593,0.000045,0,0.025011,42,0.005723,0.005723,9,10
Barsena,,0,0,0.00034,1,7,0.277197,0.294582,0,0,0.010548,4,0.002206,0.002206,9,10
Bartimus,,0,0,0.000345,1,7,0.260827,0.273932,0,0,0.006567,4,0.001533,0.001533,4,7
Bedwyck,,1,10,0.000863,5,7,0.26255,0.28274,0,0,0.018744,18,0.003532,0.003532,10,9
Craster,,0.333333,35,0.002525,15,6,0.318255,0.346646,0.003894,0,0.065224,193,0.013379,0.013379,10,9
Belaquo,,0.666667,4,0.000835,4,8,0.231374,0.246423,0.000013,0,0.005254,18,0.000766,0.000766,9,10
Goghor-the-Giant,,0.833333,5,0.000872,4,8,0.227924,0.242104,0.000001,0,0.004159,22,0.000622,0.000622,9,10
Irri,,0.485714,51,0.002254,15,7,0.284436,0.310599,0.000993,0,0.043432,220,0.008326,0.008326,9,10
Spotted-Cat,,0.4,6,0.001341,6,7,0.278264,0.298985,0.003356,0,0.014422,26,0.002757,0.002757,9,10
Oznak-zo-Pahl,,1,1,0.000474,2,7,0.277293,0.295211,0,0,0.012636,12,0.002569,0.002569,9,10
Ben-Bones,,1,1,0.00049,2,7,0.298423,0.315421,0,0,0.022298,9,0.005238,0.005238,3,13
Kasporio,,1,3,0.000642,3,7,0.324093,0.342423,0,0,0.039148,9,0.009728,0.009728,0,10
Penny,,0.52381,11,0.001256,7,7,0.33601,0.358817,0.000279,0,0.058223,92,0.013779,0.013779,0,10
Tybero-Istarion,,1,3,0.000642,3,7,0.324093,0.342423,0,0,0.039148,16,0.009728,0.009728,0,10
Benerro,,0.666667,4,0.000797,4,7,0.335726,0.35714,0.000037,0,0.049706,18,0.011925,0.011925,0,13
Moqorro,,0.5,5,0.001114,5,7,0.341202,0.363597,0.00241,0,0.049733,39,0.011781,0.011781,3,13
Benethon-Scales,,1,1,0.000499,2,7,0.255135,0.267739,0,0,0.005715,7,0.00121,0.00121,4,7
Narbert-Grandison,,0.533333,8,0.001221,6,6,0.310547,0.333166,0.000812,0,0.030193,24,0.006565,0.006565,4,7
